area_id,monster_id,skill_id,role,relative_path,input_requirement,observed,file_status,visual_status,basis,action
area_02,,,MANIFEST,AREA_02_IMAGES_OUTPUT.zip,all OUTPUT_MANIFEST area_id=area_02,invalid internal area IDs: ['']; filename/root fallback used for continued audit,FAIL,NOT_CHECKED,internal manifest/filename/root cross-check,REPACK
area_03,,,MANIFEST,AREA_03_IMAGES_OUTPUT.zip,all OUTPUT_MANIFEST area_id=area_03,invalid internal area IDs: ['']; filename/root fallback used for continued audit,FAIL,NOT_CHECKED,internal manifest/filename/root cross-check,REPACK
area_09,,,MANIFEST,AREA_09_IMAGES_OUTPUT.zip,all OUTPUT_MANIFEST area_id=area_09,invalid internal area IDs: ['']; filename/root fallback used for continued audit,FAIL,NOT_CHECKED,internal manifest/filename/root cross-check,REPACK
area_14,,,MANIFEST,AREA_14_IMAGES_OUTPUT.zip,all OUTPUT_MANIFEST area_id=area_14,invalid internal area IDs: ['']; filename/root fallback used for continued audit,FAIL,NOT_CHECKED,internal manifest/filename/root cross-check,REPACK
area_15,,,MANIFEST,AREA_15_IMAGES_OUTPUT.zip,all OUTPUT_MANIFEST area_id=area_15,invalid internal area IDs: ['']; filename/root fallback used for continued audit,FAIL,NOT_CHECKED,internal manifest/filename/root cross-check,REPACK
area_19,,,MANIFEST,AREA_19_IMAGES_OUTPUT.zip,all OUTPUT_MANIFEST area_id=area_19,invalid internal area IDs: ['']; filename/root fallback used for continued audit,FAIL,NOT_CHECKED,internal manifest/filename/root cross-check,REPACK
area_20,,,MANIFEST,AREA_20_IMAGES_OUTPUT.zip,all OUTPUT_MANIFEST area_id=area_20,invalid internal area IDs: ['']; filename/root fallback used for continued audit,FAIL,NOT_CHECKED,internal manifest/filename/root cross-check,REPACK
area_01,m_mushmom,s_mon_mushmom,CAST_VFX,monsters/004_m_mushmom_머쉬맘/CAST/004_m_mushmom_s_mon_mushmom_CAST_F06.png,content preferably inside canvas; edge contact alone is not clipping proof,alpha>16 edge pixels=33,NOT_CHECKED,NOT_CHECKED,mechanical INPUT↔OUTPUT check,USER_REVIEW
area_01,m_mushmom,s_mon_mushmom,CAST_VFX,monsters/004_m_mushmom_머쉬맘/CAST/004_m_mushmom_s_mon_mushmom_CAST_F07.png,content preferably inside canvas; edge contact alone is not clipping proof,alpha>16 edge pixels=27,NOT_CHECKED,NOT_CHECKED,mechanical INPUT↔OUTPUT check,USER_REVIEW
area_02,m_stone_golem,s_mon_stone,ICON,monsters/001_m_stone_golem_스톤골렘/ICON/001_m_stone_golem_s_mon_stone_ICON.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_stone_golem,s_mon_stone,CAST_VFX,monsters/001_m_stone_golem_스톤골렘/CAST/001_m_stone_golem_s_mon_stone_CAST_F00.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_stone_golem,s_mon_stone,CAST_VFX,monsters/001_m_stone_golem_스톤골렘/CAST/001_m_stone_golem_s_mon_stone_CAST_F01.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_stone_golem,s_mon_stone,CAST_VFX,monsters/001_m_stone_golem_스톤골렘/CAST/001_m_stone_golem_s_mon_stone_CAST_F02.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_stone_golem,s_mon_stone,CAST_VFX,monsters/001_m_stone_golem_스톤골렘/CAST/001_m_stone_golem_s_mon_stone_CAST_F03.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_stone_golem,s_mon_stone,CAST_VFX,monsters/001_m_stone_golem_스톤골렘/CAST/001_m_stone_golem_s_mon_stone_CAST_F04.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_stone_golem,s_mon_stone,CAST_VFX,monsters/001_m_stone_golem_스톤골렘/CAST/001_m_stone_golem_s_mon_stone_CAST_F05.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_stone_golem,s_mon_stone,CAST_VFX,monsters/001_m_stone_golem_스톤골렘/CAST/001_m_stone_golem_s_mon_stone_CAST_F06.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_stone_golem,s_mon_stone,CAST_VFX,monsters/001_m_stone_golem_스톤골렘/CAST/001_m_stone_golem_s_mon_stone_CAST_F07.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_axe_stump,s_mon_axe_stump,ICON,monsters/002_m_axe_stump_엑스텀프/ICON/002_m_axe_stump_s_mon_axe_stump_ICON.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_axe_stump,s_mon_axe_stump,CAST_VFX,monsters/002_m_axe_stump_엑스텀프/CAST/002_m_axe_stump_s_mon_axe_stump_CAST_F00.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_axe_stump,s_mon_axe_stump,CAST_VFX,monsters/002_m_axe_stump_엑스텀프/CAST/002_m_axe_stump_s_mon_axe_stump_CAST_F01.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_axe_stump,s_mon_axe_stump,CAST_VFX,monsters/002_m_axe_stump_엑스텀프/CAST/002_m_axe_stump_s_mon_axe_stump_CAST_F02.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_axe_stump,s_mon_axe_stump,CAST_VFX,monsters/002_m_axe_stump_엑스텀프/CAST/002_m_axe_stump_s_mon_axe_stump_CAST_F03.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_axe_stump,s_mon_axe_stump,CAST_VFX,monsters/002_m_axe_stump_엑스텀프/CAST/002_m_axe_stump_s_mon_axe_stump_CAST_F04.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_axe_stump,s_mon_axe_stump,CAST_VFX,monsters/002_m_axe_stump_엑스텀프/CAST/002_m_axe_stump_s_mon_axe_stump_CAST_F05.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_axe_stump,s_mon_axe_stump,CAST_VFX,monsters/002_m_axe_stump_엑스텀프/CAST/002_m_axe_stump_s_mon_axe_stump_CAST_F06.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_axe_stump,s_mon_axe_stump,CAST_VFX,monsters/002_m_axe_stump_엑스텀프/CAST/002_m_axe_stump_s_mon_axe_stump_CAST_F07.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,ICON,monsters/003_m_dark_axe_stump_다크_엑스텀프/ICON/003_m_dark_axe_stump_s_mon_dark_axe_stump_ICON.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,CAST_VFX,monsters/003_m_dark_axe_stump_다크_엑스텀프/CAST/003_m_dark_axe_stump_s_mon_dark_axe_stump_CAST_F00.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,CAST_VFX,monsters/003_m_dark_axe_stump_다크_엑스텀프/CAST/003_m_dark_axe_stump_s_mon_dark_axe_stump_CAST_F01.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,CAST_VFX,monsters/003_m_dark_axe_stump_다크_엑스텀프/CAST/003_m_dark_axe_stump_s_mon_dark_axe_stump_CAST_F02.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,CAST_VFX,monsters/003_m_dark_axe_stump_다크_엑스텀프/CAST/003_m_dark_axe_stump_s_mon_dark_axe_stump_CAST_F03.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,CAST_VFX,monsters/003_m_dark_axe_stump_다크_엑스텀프/CAST/003_m_dark_axe_stump_s_mon_dark_axe_stump_CAST_F04.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,CAST_VFX,monsters/003_m_dark_axe_stump_다크_엑스텀프/CAST/003_m_dark_axe_stump_s_mon_dark_axe_stump_CAST_F05.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,CAST_VFX,monsters/003_m_dark_axe_stump_다크_엑스텀프/CAST/003_m_dark_axe_stump_s_mon_dark_axe_stump_CAST_F06.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_dark_axe_stump,s_mon_dark_axe_stump,CAST_VFX,monsters/003_m_dark_axe_stump_다크_엑스텀프/CAST/003_m_dark_axe_stump_s_mon_dark_axe_stump_CAST_F07.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_wild_boar,s_mon_wild_boar,ICON,monsters/004_m_wild_boar_와일드보어/ICON/004_m_wild_boar_s_mon_wild_boar_ICON.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_wild_boar,s_mon_wild_boar,CAST_VFX,monsters/004_m_wild_boar_와일드보어/CAST/004_m_wild_boar_s_mon_wild_boar_CAST_F00.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_wild_boar,s_mon_wild_boar,CAST_VFX,monsters/004_m_wild_boar_와일드보어/CAST/004_m_wild_boar_s_mon_wild_boar_CAST_F01.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_wild_boar,s_mon_wild_boar,CAST_VFX,monsters/004_m_wild_boar_와일드보어/CAST/004_m_wild_boar_s_mon_wild_boar_CAST_F02.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
area_02,m_wild_boar,s_mon_wild_boar,CAST_VFX,monsters/004_m_wild_boar_와일드보어/CAST/004_m_wild_boar_s_mon_wild_boar_CAST_F03.png,required file,missing,FAIL,NOT_CHECKED,mechanical INPUT↔OUTPUT check,REPACK
